entity_type,category,zone,category1,BOQ name,qty_type,qty_value,length (ft),width (ft),perimeter,area (ft2),Description,Preview,remarks
LAYER_SUMMARY,ANTI STATIC FLOORING,Conference,,,layer,,,,32.48,68.51,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,ANTI STATIC FLOORING,,,,layer,,218.46,16.89,470.71,3690.13,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,BLOCK WALL PARTITION,Conference,,,layer,,69.03,0.43,138.92,29.86,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,BLOCK WALL PARTITION,LoungeRoom,,,layer,,11.02,,,,,,OPEN length only
LAYER_SUMMARY,BLOCK WALL PARTITION,MeetingRoom 1,,,layer,,10.37,0.51,21.76,5.24,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,BLOCK WALL PARTITION,,,,layer,,219.99,2.48,444.93,544.79,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CARPET FLOORING,LoungeArea,,,layer,,51.58,13.76,130.68,709.61,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CARPET FLOORING,LoungeRoom,,,layer,,16.01,11.65,55.32,186.52,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CARPET FLOORING,MeetingRoom 1,,,layer,,14.48,9.66,48.28,139.87,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CARPET FLOORING,MeetingRoom 2,,,layer,,14.43,11.38,51.63,164.27,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING PROFILE,Conference,,,layer,,20.37,,,,,,OPEN length only
LAYER_SUMMARY,CEILING PROFILE,Conference,,,layer,,34.03,0.73,69.51,24.70,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING PROFILE,MeetingRoom 2,,,layer,,10.07,0.75,21.64,7.52,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING PROFILE,,,,layer,,9.06,0.76,19.64,6.91,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,Conference,,,layer,,49.90,10.77,121.35,537.50,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,LoungeArea,,,layer,,50.96,13.80,129.53,703.41,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,LoungeRoom,,,layer,,16.01,11.65,55.32,186.53,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,MeetingRoom 1,,,layer,,14.48,9.66,48.28,139.87,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,MeetingRoom 2,,,layer,,44.11,7.49,103.21,330.58,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,CEILING-GYPSUM,,,,layer,,177.10,20.15,394.50,3568.60,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,Conference,,,layer,,22.30,0.69,45.98,15.46,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,LoungeArea,,,layer,,1.51,,,,,,OPEN length only
LAYER_SUMMARY,Disturbance_Pillar,LoungeArea,,,layer,,4.58,0.67,10.50,3.07,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,LoungeRoom,,,layer,,1.76,1.76,7.05,3.10,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,MeetingRoom 1,,,layer,,2.27,0.75,6.05,1.71,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,MeetingRoom 2,,,layer,,1.26,1.26,5.03,1.58,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,Disturbance_Pillar,,,,layer,,6.78,0.57,14.70,3.84,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,Conference,,,layer,,34.03,0.73,69.51,24.70,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,LoungeArea,,,layer,,23.07,0.70,47.54,16.08,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,LoungeRoom,,,layer,,16.38,0.71,34.18,11.65,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,MeetingRoom 1,,,layer,,1.89,0.76,5.29,1.43,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,MeetingRoom 2,,,layer,,13.79,0.70,28.99,9.72,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FACADE WALL,,,,layer,,12.89,0.71,27.20,9.21,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,GLASS BOARD,MeetingRoom 1,,,layer,,8.00,0.03,16.06,0.27,,,CLOSED (rectangle): length/width + perimeter & area
