entity_type,category,zone,category1,BOQ name,qty_type,qty_value,length (ft),width (ft),perimeter,area (ft2),Description,Preview,remarks
INSERT,CHAIR MB,,chair mb,CHAIR MB2,count,1.00,0.09,0.08,,,,,aggregated 1 inserts
LAYER_SUMMARY,COLUMN,,,,layer,,6.84,0.03,13.74,0.20,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,COLUMN,WORKSTATION AREA 02,,,layer,,0.91,0.04,1.89,0.03,,,CLOSED (rectangle): length/width + perimeter & area
INSERT,DOOR VISION PANEL,,door vision panel,Door_Fire,count,2.00,0.12,0.12,,,,,aggregated 2 inserts
LAYER_SUMMARY,FACADE,,,,layer,,6.71,,,,,,OPEN length only
LAYER_SUMMARY,FLR CARPET,DIRECTOR CABIN 01,,,layer,,0.57,0.39,1.92,0.22,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET,MANAGER CABIN 01,,,layer,,0.39,0.33,1.45,0.13,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET,WORKSTATION AREA 02,,,layer,,5.11,0.34,10.91,1.75,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET,WORKSTATION AREA 03,,,layer,,0.38,0.06,0.89,0.02,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 1,CUBICLE ZONE 02,,,layer,,1.09,0.20,2.58,0.22,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 1,DIRECTOR CABIN 02,,,layer,,0.58,0.38,1.93,0.22,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 1,MANAGER CABIN 02,,,layer,,,,1.56,0.16,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 1,WORKSTATION AREA 01,,,layer,,1.18,0.81,4.00,0.96,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 1,WORKSTATION AREA 02,,,layer,,1.03,0.20,2.46,0.21,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 1,WORKSTATION AREA 03,,,layer,,,,1.86,0.22,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 2,CUBICLE ZONE 01,,,layer,,2.43,0.18,5.22,0.44,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET 2,WORKSTATION AREA 02,,,layer,,2.06,0.67,5.46,1.38,,,CLOSED (rectangle): length/width + perimeter & area
LAYER_SUMMARY,FLR CARPET GRASS,CUBICLE ZONE 01,,,layer,,1.05,0.02,2.15,0.02,,,CLOSED (rectangle): length/width + perimeter & area
